filename,listnumber,assignmentid,hitid,workerid,origin,timestamp,partid,questionid,answer,quid,description,exampletrue,examplefalse,run,sublist,completionurl,id,triple,uuid
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,70bb5ccb-1797-4dfe-b1f0-f2ee1cb7d03c,PROLIFIC,04-Dec-2019 10:41:01,98,3305,"""{\""30\"":{\""answer\"":true}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17987,afforded_unusual-roll-blade,0ca22ede-d3b9-44f3-b67b-00ccd058b763
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,77bbdacd-cde3-4bb8-be9f-128a0054f431,PROLIFIC,04-Dec-2019 10:35:03,98,3305,"""{\""49\"":{\""answer\"":true}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17501,afforded_unusual-roll-blade,c10e1b2c-3b93-4594-8e78-7f490130d807
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,484c9a62-641e-400e-8f38-eb739fe8549e,PROLIFIC,04-Dec-2019 10:54:26,98,3305,"""{\""46\"":{\""answer\"":true}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,18388,afforded_unusual-roll-blade,6e5a5b37-bd51-4f27-a935-4cc35eb9994e
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,5be7615d-ca4f-4e5b-a0de-fb0245f56dce,PROLIFIC,04-Dec-2019 10:41:15,98,3305,"""{\""52\"":{\""answer\"":true}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,18011,afforded_unusual-roll-blade,061aa6de-92d4-40f0-b2b7-685dcdfcdb85
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,5de007c8693f22087d586ab4,PROLIFIC,04-Dec-2019 10:47:38,98,3305,"""{\""26\"":{\""answer\"":true}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,18272,afforded_unusual-roll-blade,3cabcfcc-9045-46ac-9dba-6da4f03e43b5
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,c79e926a-44d4-48a4-af5d-ebfb943650e2,PROLIFIC,04-Dec-2019 10:34:55,98,3305,"""{\""28\"":{\""answer\"":false}}""",d7508a86-12a0-11ea-b098-acde48001122,(A/an) blade can roll or be used for rolling  but this is not what it usually does or is used for.,(A/an) knitting_needle can pierce or be used for pierceing  but this is not what it usually does or is used for.,(A/an) brush can fly or be used for flying  but this is not what it usually does or is used for.,1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17493,afforded_unusual-roll-blade,cea02ade-488d-48e3-a1cc-44f68b20f5db
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,597aab70fd9fe50001166ba0,PROLIFIC,04-Dec-2019 10:29:13,98,3306,"""{\""0\"":{\""answer\"":true}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17348,unusual-roll-blade,97006b38-84c0-4d00-9292-b356ddea6482
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,70bb5ccb-1797-4dfe-b1f0-f2ee1cb7d03c,PROLIFIC,04-Dec-2019 10:43:05,98,3306,"""{\""49\"":{\""answer\"":true}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,18114,unusual-roll-blade,e890a820-04c8-4fee-ba1b-35219b7f815f
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,77bbdacd-cde3-4bb8-be9f-128a0054f431,PROLIFIC,04-Dec-2019 10:34:16,98,3306,"""{\""39\"":{\""answer\"":true}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17463,unusual-roll-blade,edb517c0-e18a-40e7-8428-59459fd2750a
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,484c9a62-641e-400e-8f38-eb739fe8549e,PROLIFIC,04-Dec-2019 10:52:41,98,3306,"""{\""18\"":{\""answer\"":true}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,18351,unusual-roll-blade,9d25b84f-d2d0-452d-a5b6-b82fc810078c
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,5be7615d-ca4f-4e5b-a0de-fb0245f56dce,PROLIFIC,04-Dec-2019 10:32:58,98,3306,"""{\""8\"":{\""answer\"":false}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17405,unusual-roll-blade,5b5131b4-034e-495a-a733-0178416fb782
qu70-s_qu70-batch25.csv,1,NOT AVAILABLE,NOT AVAILABLE,5de007c8693f22087d586ab4,PROLIFIC,04-Dec-2019 10:39:39,98,3306,"""{\""9\"":{\""answer\"":false}}""",d7508cde-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) blade could roll. ","In an unusual situation, (a/an) student could teach. ","In an unusual situation, (a/an) teacher could teach. ",1,1,https://app.prolific.co/submissions/complete?cc=3F464F6C,17864,unusual-roll-blade,e06d5cb2-e7e5-4c3c-8ab0-c40707c78ea8
